"Date","Sales"
"1-01-2021",266.0
"1-02-2021",145.9
"1-03-2021",183.1
"1-04-2021",119.3
"1-05-2021",180.3
"1-06-2021",168.5
"1-07-2021",231.8
"1-08-2021",224.5
"1-09-2021",192.8
"1-10-2021",122.9
"1-11-2021",336.5
"1-12-2021",185.9
"2-01-2022",194.3
"2-02-2022",149.5
"2-03-2022",210.1
"2-04-2022",273.3
"2-05-2022",191.4
"2-06-2022",287.0
"2-07-2022",226.0
"2-08-2022",303.6
"2-09-2022",289.9
"2-10-2022",421.6
"2-11-2022",264.5
"2-12-2022",342.3
"3-01-2023",339.7
"3-02-2023",440.4
"3-03-2023",315.9
"3-04-2023",439.3
"3-05-2023",401.3
"3-06-2023",437.4
"3-07-2023",575.5
"3-08-2023",407.6
"3-09-2023",682.0
"3-10-2023",475.3
"3-11-2023",581.3
"3-12-2023",646.9
